Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.57031e+04,1.8,1.88,-0.32,0.56,,3.141e+05,-55.05
1.57812e+04,1.72,1.72,-0.88,-1.36,,3.156e+05,-55.05
1.58594e+04,1.72,1.8,-1.36,-0.56,,3.172e+05,-53.0625
1.59375e+04,1.72,1.64,-1.68,-1.84,,3.187e+05,-51.0719
1.60156e+04,1.64,1.72,-1.84,-1.52,,3.203e+05,-53.0625
1.60937e+04,1.64,1.56,-1.84,-1.84,,3.219e+05,-55.05
1.61719e+04,1.56,1.64,-1.76,-1.76,,3.234e+05,-53.0625
1.62500e+04,1.56,1.48,-1.68,-1.76,,3.250e+05,-51.0719
1.63281e+04,1.56,1.56,-1.6,-1.6,,3.266e+05,-51.0719
1.64062e+04,1.48,1.48,-1.6,-1.6,,3.281e+05,-51.0719
1.64844e+04,1.48,1.48,-1.52,-1.52,,3.297e+05,-51.0719
1.65625e+04,1.48,1.48,-1.76,-1.92,,3.312e+05,-51.0719
1.66406e+04,1.48,1.48,-1.92,-1.68,,3.328e+05,-53.0625
1.67187e+04,1.48,1.4,-2.08,-2.16,,3.344e+05,-55.05
1.67969e+04,1.48,1.48,-2.16,-1.92,,3.359e+05,-52.0406
1.68750e+04,1.48,1.48,-2.16,-2.24,,3.375e+05,-49.0312
1.69531e+04,1.48,1.48,-2.16,-2.16,,3.391e+05,-50.0531
1.70312e+04,1.48,1.4,-2.08,-2.16,,3.406e+05,-51.0719
1.71094e+04,1.48,1.48,-2,-2,,3.422e+05,-51.0719
1.71875e+04,1.48,1.4,-1.92,-2,,3.437e+05,-51.0719
1.72656e+04,1.48,1.48,-1.92,-1.92,,3.453e+05,-54.5656
1.73437e+04,1.48,1.4,-1.92,-1.92,,3.469e+05,-58.0594
1.74219e+04,1.48,1.48,-1.92,-1.92,,3.484e+05,-54.5656
1.75000e+04,1.48,1.4,-2,-2.08,,3.500e+05,-51.0719
