Time (s),Bx (µT),By (µT),Bz (µT)
47.439998626708984,-18.458209991455078,-44.15853500366211,-58.53498077392578
47.45000076293945,-18.324424743652344,-44.027252197265625,-57.54059600830078
47.459999084472656,-18.87126922607422,-44.34123611450195,-57.63026428222656
47.470001220703125,-18.990867614746094,-44.735076904296875,-57.664398193359375
47.47999954223633,-18.723297119140625,-44.87273406982422,-57.61474609375
47.4900016784668,-18.47282600402832,-44.512447357177734,-57.802188873291016
47.5,-18.47282600402832,-44.64372634887695,-58.654518127441406
47.5099983215332,-18.0433406829834,-44.88037109375,-58.25275802612305
47.52000045776367,-18.159875869750977,-44.71661376953125,-58.695743560791016
47.529998779296875,-18.454349517822266,-44.264976501464844,-59.87773513793945
47.540000915527344,-17.800315856933594,-44.029205322265625,-60.443321228027344
47.54999923706055,-17.93410301208496,-45.21074295043945,-60.86948776245117
47.560001373291016,-18.27049446105957,-44.80174255371094,-60.21998977661133
47.56999969482422,-18.207462310791016,-44.27336883544922,-59.50736999511719
47.58000183105469,-17.797834396362305,-44.142086029052734,-59.2144775390625
47.59000015258789,-17.797834396362305,-44.01080322265625,-59.35653305053711
47.599998474121094,-17.928035736083984,-44.518341064453125,-59.22209167480469
47.61000061035156,-18.061819076538086,-44.576194763183594,-58.169921875
47.619998931884766,-18.19560432434082,-44.26747512817383,-58.79735565185547
47.630001068115234,-18.25345802307129,-43.96588134765625,-61.438812255859375
47.63999938964844,-17.98588752746582,-44.62228775024414,-62.00703048706055
47.650001525878906,-17.966583251953125,-43.81698226928711,-59.80732727050781
47.65999984741211,-17.699073791503906,-44.21052551269531,-58.623252868652344
47.66999816894531,-17.460338592529297,-44.72885513305664,-58.918392181396484
47.68000030517578,-17.479581832885742,-44.504058837890625,-60.25623321533203
47.689998626708984,-17.613367080688477,-44.504058837890625,-60.25623321533203
47.70000076293945,-17.39295768737793,-43.808921813964844,-59.75477981567383
47.709999084472656,-17.20848846435547,-43.755157470703125,-60.15719223022461
47.720001220703125,-17.267261505126953,-44.38519287109375,-60.998233795166016
47.72999954223633,-17.629087448120117,-45.24150085449219,-61.4685173034668
47.7400016784668,-17.629087448120117,-44.322532653808594,-61.042354583740234
47.75,-17.181095123291016,-44.50258255004883,-61.09187316894531
47.7599983215332,-17.185199737548828,-44.745243072509766,-60.74314498901367
47.77000045776367,-17.58655548095703,-44.876522064208984,-59.988197326660156
47.779998779296875,-17.973691940307617,-44.98687744140625,-59.1887092590332
47.790000915527344,-18.10747718811035,-44.72431182861328,-59.33076477050781
47.79999923706055,-18.029399871826172,-45.18939208984375,-59.697776794433594
47.810001373291016,-18.108518600463867,-45.14939880371094,-59.89787673950195
47.81999969482422,-18.26807403564453,-44.634315490722656,-59.85964584350586
47.83000183105469,-18.138456344604492,-44.50508117675781,-59.708740234375
47.84000015258789,-18.539810180664062,-44.63636016845703,-58.43024444580078
47.849998474121094,-18.64157485961914,-44.669647216796875,-58.106082916259766
47.86000061035156,-18.38197135925293,-44.98807907104492,-58.2439079284668
47.869998931884766,-17.99652099609375,-45.438846588134766,-58.432655334472656
47.880001068115234,-18.13030433654785,-45.1762809753418,-58.29059982299805
47.88999938964844,-18.264089584350586,-45.040069580078125,-58.69541931152344
47.900001525878906,-18.116485595703125,-45.18490982055664,-58.72320556640625
47.90999984741211,-17.90774917602539,-45.2165412902832,-59.45573425292969
47.91999816894531,-17.797834396362305,-45.04767608642578,-60.643455505371094
47.93000030517578,-17.797834396362305,-45.310237884521484,-58.79673767089844
47.939998626708984,-17.797834396362305,-44.85042190551758,-59.164730072021484
47.95000076293945,-18.148752212524414,-44.92790985107422,-58.80142593383789
47.959999084472656,-18.63112449645996,-45.425315856933594,-58.34128952026367
47.970001220703125,-18.89005470275879,-45.99436950683594,-58.57786560058594
47.97999954223633,-18.221128463745117,-45.99436950683594,-59.43019485473633
47.9900016784668,-18.251955032348633,-45.19327163696289,-59.0441780090332
48,-18.14075469970703,-45.15577697753906,-59.256351470947266
48.0099983215332,-18.059982299804688,-45.36012268066406,-59.421180725097656
48.02000045776367,-18.280607223510742,-44.79353332519531,-57.908390045166016
48.029998779296875,-18.013036727905273,-42.43046569824219,-49.52714157104492
48.040000915527344,-17.966583251953125,-41.260780334472656,-47.954647064208984
48.04999923706055,-17.966583251953125,-41.083614349365234,-48.213932037353516
48.060001373291016,-17.885318756103516,-41.317970275878906,-48.48014450073242
48.06999969482422,-17.640424728393555,-41.20894241333008,-48.066017150878906
48.08000183105469,-17.907995223999023,-41.602783203125,-47.92396545410156
48.09000015258789,-17.444129943847656,-41.38141632080078,-46.67240905761719
48.099998474121094,-17.540008544921875,-41.124027252197266,-45.10980224609375
48.11000061035156,-18.273588180541992,-40.92490768432617,-44.64823913574219
48.119998931884766,-18.80872917175293,-40.531063079833984,-47.34728240966797
48.130001068115234,-18.943708419799805,-40.66078186035156,-46.78879165649414
48.13999938964844,-18.585376739501953,-40.79206466674805,-46.847618103027344
48.150001525878906,-18.240617752075195,-40.73652648925781,-47.06434631347656
48.15999984741211,-18.163827896118164,-40.585819244384766,-47.32743453979492
48.16999816894531,-18.2976131439209,-40.848384857177734,-48.03771209716797
48.18000030517578,-18.431398391723633,-41.11094665527344,-46.72013854980469
48.189998626708984,-18.565183639526367,-41.19225311279297,-46.672508239746094
48.20000076293945,-18.29721450805664,-41.248573303222656,-46.99696350097656
48.209999084472656,-17.718809127807617,-41.313819885253906,-47.13986587524414
48.220001220703125,-18.253948211669922,-41.0512580871582,-47.992191314697266
48.22999954223633,-18.54658317565918,-41.02666091918945,-47.042057037353516
48.2400016784668,-17.951261520385742,-41.02666091918945,-46.18048858642578
48.25,-17.496896743774414,-41.177757263183594,-46.17869567871094
48.2599983215332,-17.950220108032227,-41.4913215637207,-47.26301193237305
48.27000045776367,-17.816434860229492,-41.228755950927734,-47.973289489746094
48.279998779296875,-17.682649612426758,-41.30528259277344,-47.58281707763672
48.290000915527344,-17.789531707763672,-41.121681213378906,-47.01459503173828
48.29999923706055,-18.057100296020508,-41.038719177246094,-46.302207946777344
48.310001373291016,-18.29378318786621,-41.4830207824707,-45.40621566772461
48.31999969482422,-18.159997940063477,-40.95789337158203,-45.69032287597656
48.33000183105469,-17.480623245239258,-40.96814727783203,-45.85857009887695
48.34000015258789,-17.196998596191406,-40.881126403808594,-46.31557846069336
48.349998474121094,-17.36997413635254,-40.84931182861328,-46.44325256347656
48.36000061035156,-17.603715896606445,-41.35369110107422,-45.23659896850586
48.369998931884766,-16.801006317138672,-41.222412109375,-46.23098373413086
48.380001068115234,-17.23490333557129,-41.39449691772461,-46.67826461791992
48.38999938964844,-17.629087448120117,-41.25617980957031,-46.96237564086914
48.400001525878906,-17.562837600708008,-40.76355743408203,-47.140968322753906
48.40999984741211,-17.295269012451172,-40.369712829589844,-46.99891662597656
48.41999816894531,-17.29159164428711,-41.011688232421875,-46.57665252685547
48.43000030517578,-17.776508331298828,-40.430904388427734,-47.077293395996094
48.439998626708984,-18.197351455688477,-40.232688903808594,-47.73206329345703
48.45000076293945,-18.141735076904297,-40.88762283325195,-47.92838668823242
